"Invoice","开具发票"
"Invoice Information","发票信息"
"Invoice Type","发票类型"
"General Invoice","普通发票"
"VAT Invoice","增值税发票"
"Invoices Payable","发票抬头"
"Personal","个人"
"Units","单位"
"Units Name","单位名称"
"Qualification completed VAT invoice invoices","增值税发票专用发票资质填写"
"Taxpayer identification number","纳税人识别号"
"Registered Address","注册地址"
"Registered Telephone","注册电话"
"Open an account with the bank","开户银行"
"Bank account","银行帐户"
"Invoice Content","发票内容"
"Detail","明细"
"Office Supplies","办公用品"
"Computer Accessories","电脑配件"
"Consumable","耗材"
"Invoice information to determine","确定发票信息"
"Order Remark","订单备注"
"Coupon","优惠券"
"ID","编号"
"Bill","发票"
"Bills","发票"
"Billed At","开票日期"
"Order Bills","发票"
"Bill Information","发票信息"
"Bill Management","发票管理"
"Manage Bills","管理发票"
"Create Bill","新建发票"
"Add New Bill","新建发票"
"Save Bill","保存发票"
"Delete Bill","删除发票"
"Delete","删除"
"Invoiced At","开具时间"
"Status","状态"
"Type","类型"
"Content","内容"
"Title","抬头"
"Price","金额"
"Account","银行帐号"
"Action","操作"
"Phone","电话"
"Tax Payer ID","纳税人编号"
"Bill was successfully saved","发票已保存"
"Bill was deleted","发票已删除"
"Please select bill(s)","请先选择发票"
"Order ID","订单编号"
"Bank","银行"
"Bill ID","发票编号"
"Bill Increment ID","实体发票编号"
"Invoice Information","发票信息"
"Personal","个人"
"Official Invoice","正式发票"
